,Package_Id,Package Title,serial path(no airport),path_only_attraction,len,nature,outdoor,fatigue,sea,walking,exciting,day,culture,cluster
17,DCPS2TKO3,[고품격효도관광추천]푸른바다속잠수함탐험 노팁노옵션 관광호텔 3일 해저잠수함+웰빙족욕+승마체험+전일정식사,"용두암,유리의성 제주,제주마라도잠수함,송악산,제주레저승마,성읍민속마을,섭지코지","용두암,제주유리의성,제주잠수함,송악산,제주승마공원,성읍민속마을,섭지코지",7,1.7142857142857142,2.142857142857143,1.7142857142857142,1.4285714285714286,1.5714285714285714,1.2857142857142858,2.857142857142857,0.8571428571428571,10
18,DCPS2TZE39,[효도관광추천] 노팁노옵션 제주관광호텔 2박3일<잠수함+스카이워터쇼> 수목원테마파크+그림자공연+승마+족욕+전일정식사,"용두암,유리의성 제주,제주마라도잠수함,제주레저승마,성읍민속마을,섭지코지","용두암,제주유리의성,제주잠수함,제주승마공원,성읍민속마을,섭지코지",6,1.5,2.0,1.5,1.6666666666666667,1.5,1.5,2.833333333333333,0.8333333333333334,11
19,DCPS2TZE89,[알뜰제주] 제주 관광호텔 2박3일 카멜리아힐+한담산책로+화순곶자왈+웰빙족욕,"애월한담해안도로,카멜리아힐,서커스월드,수목원테마파크,제주레저승마,성읍민속마을","애월한담해안산책로,카멜리아힐,수목원테마공원,제주승마공원,성읍민속마을",5,1.8,2.8,1.4,1.2,2.4,1.2,2.2,0.2,3
20,DCPS2TZE6,[제주힐링여행] 한라산트래킹 관광호텔 2박3일 한라산등반+섭지코지+한울랜드,"용두암,한라산,제주레저승마,성읍민속마을,섭지코지","용두암,제주승마공원,성읍민속마을,섭지코지",4,2.25,3.0,2.0,1.5,2.0,0.75,3.0,0.5,8
21,DCPS2TOZ99,"[노팁노옵션 PERFECT 마라도투어] 제주관광호텔 3일 최남단마라도,아쿠아플라넷, 족욕, 노팁, 노옵션","신창해안도로,수월봉,카멜리아힐,마라도,서커스월드,수목원테마파크,제주레저승마,성읍민속마을,아쿠아플라넷,섭지코지","신창~차귀해안도로,수월봉,카멜리아힐,마라도,수목원테마공원,제주승마공원,성읍민속마을,아쿠아플라넷제주,섭지코지",9,2.0,2.555555555555556,2.0,1.4444444444444444,2.4444444444444446,0.8888888888888888,2.4444444444444446,0.2222222222222222,8
22,DCPS2TKO1,[환상의섬우도] 설레임 가득 제주 관광호텔 3일-마유비누증정 우도8경+비밀의그림자공연,"용두암,송악산,유리의성 제주,제주레저승마,성읍민속마을,우도","용두암,송악산,제주유리의성,제주승마공원,성읍민속마을,우도",6,2.0,2.5,2.0,1.1666666666666667,1.8333333333333333,1.0,2.833333333333333,1.0,0
23,DCPS2TOZ1,"[환상의섬우도] 설레임 가득 제주 관광호텔 3일 우도8경, 비밀의그림자공연, 승마체험","용두암,유리의성 제주,카멜리아힐,제주레저승마,성읍민속마을,우도","용두암,제주유리의성,카멜리아힐,제주승마공원,성읍민속마을,우도",6,1.8333333333333333,2.333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.1666666666666667,2.6666666666666665,0.8333333333333334,0
24,DCPS2TKE99,"[노팁노옵션 PERFECT 마라도투어] 제주관광호텔 3일-감귤타르트 1BOX 증정 최남단마라도,아쿠아플라넷, 족욕, 노팁, 노옵션","신창해안도로,카멜리아힐,마라도,서커스월드,수목원테마파크,제주레저승마,성읍민속마을,아쿠아플라넷,섭지코지","신창~차귀해안도로,카멜리아힐,마라도,수목원테마공원,제주승마공원,성읍민속마을,아쿠아플라넷제주,섭지코지",8,1.875,2.5,1.875,1.375,2.625,1.0,2.375,0.125,3
25,DCPS2UKO99,"[노팁노옵션 PERFECT 마라도투어] 제주더원호텔 3일 최남단마라도,아쿠아플라넷, 족욕, 노팁, 노옵션","수월봉,카멜리아힐,마라도,서커스월드,수목원테마파크,제주레저승마,성읍민속마을,아쿠아플라넷,섭지코지","수월봉,카멜리아힐,마라도,수목원테마공원,제주승마공원,성읍민속마을,아쿠아플라넷제주,섭지코지",8,2.0,2.5,1.875,1.375,2.375,1.0,2.375,0.25,3
26,DCPS2UKO3,[고품격효도관광추천] 푸른바다속잠수함탐험 노팁노옵션 더원호텔 3일 해저잠수함+웰빙족욕+승마체험+전일정식사,"유리의성 제주,제주마라도잠수함,송악산,제주레저승마,성읍민속마을,섭지코지","제주유리의성,제주잠수함,송악산,제주승마공원,성읍민속마을,섭지코지",6,1.5,2.0,1.8333333333333333,1.1666666666666667,1.5,1.5,2.833333333333333,0.8333333333333334,11
27,DCPS2NKO3,[효도관광추천-3인1실기준] 노팁노옵션 리젠트마린호텔 3일<잠수함+스카이워터쇼> 수목원테마파크+그림자공연+승마+족욕+전일정식사,"용두암,유리의성 제주,서귀포잠수함,석부작 테마공원,카멜리아힐,제주레저승마,성읍민속마을,섭지코지","용두암,제주유리의성,서귀포잠수함,카멜리아힐,제주승마공원,성읍민속마을,섭지코지",7,2.0,2.2857142857142856,1.5714285714285714,1.5714285714285714,1.7142857142857142,1.4285714285714286,2.7142857142857144,0.7142857142857143,6
28,DCKS26OZ04,[아시아나항공 조기예약]특가대표 제주3일_관광호텔 관광호텔 무료 업그레이드!!!,"애월한담해안도로,카멜리아힐,수목원테마파크,성읍민속마을,아쿠아플라넷","애월한담해안산책로,카멜리아힐,수목원테마공원,성읍민속마을,아쿠아플라넷제주",5,1.4,2.2,1.2,1.4,2.8,0.8,2.0,0.2,3
29,DCKS26OZ07,[아시아나 조기예약 특가]궁셔리제주 3일_관광호텔 관광호텔 무료 업그레이드!!!,"애월한담해안도로,수목원테마파크,카멜리아힐,마라도,성읍민속마을,우도,아쿠아플라넷","애월한담해안산책로,수목원테마공원,카멜리아힐,마라도,성읍민속마을,우도,아쿠아플라넷제주",7,1.8571428571428568,2.4285714285714284,1.5714285714285714,1.4285714285714286,2.857142857142857,0.7142857142857143,2.2857142857142856,0.1428571428571428,3
30,DCKS2AOZ04,[아시아나 조기예약_아스타호텔]특가대표제주 3일 화순곶자왈/서커스/석예원 등 알찬일정,"애월한담해안도로,카멜리아힐,수목원테마파크,성읍민속마을,섭지코지","애월한담해안산책로,카멜리아힐,수목원테마공원,성읍민속마을,섭지코지",5,2.0,2.8,1.6,1.2,2.8,0.6,2.2,0.2,4
31,DCKS2EKO1,"[가족/효도여행 추천]마레보리조트 석식BBQ포함_제주미식회 노팁/노옵션 3일 그랑블루요트/에코랜드/황금족욕 <해물탕, 컨벤션뷔페, 흑돼지바베큐, 민트레스토랑(별미탕면or대하리조또>","어승생악,그랑블루요트,성읍민속마을,에코랜드관광열차,월정리","어승생,그랑블루요트투어,성읍민속마을,월정리해변",4,2.25,3.0,1.75,1.75,2.0,1.0,3.0,0.25,8
32,DCKS2MKO0,[메종글래드호텔 ※선착순 디럭스룸 업그레이드+부메랑튜브※] 탐나는 제주 3일 <전일정식사+마라도+차귀도 잠수함+우도>,"차귀도잠수함,카멜리아힐,마라도,성읍민속마을,우도,아쿠아플라넷","우도잠수함,카멜리아힐,마라도,성읍민속마을,우도,아쿠아플라넷제주",6,2.0,2.1666666666666665,1.6666666666666667,1.6666666666666667,2.333333333333333,1.0,2.6666666666666665,0.1666666666666666,3
33,DCKS2MOZ04,"[특급 메종글래드호텔_아시아나항공 조기예약] 특가대표 제주3일 [아쿠아플라넷,화순곶자왈,석예원족욕 등 알찬일정]","애월한담해안도로,수목원테마파크,카멜리아힐,성읍민속마을,아쿠아플라넷,섭지코지","애월한담해안산책로,수목원테마공원,카멜리아힐,성읍민속마을,아쿠아플라넷제주,섭지코지",6,1.6666666666666667,2.333333333333333,1.5,1.3333333333333333,2.833333333333333,0.6666666666666666,2.1666666666666665,0.1666666666666666,3
34,DCKS2TKO04,[3일차 석식 전복죽 특전] 제주를 반하다 관광호텔 2박3일 화순곶자왈+서커스월드+아쿠아플라넷+전복죽1회석식제공,"수월봉,애월한담해안도로,수목원테마파크,카멜리아힐,성읍민속마을,아쿠아플라넷","수월봉,애월한담해안산책로,수목원테마공원,카멜리아힐,성읍민속마을,아쿠아플라넷제주",6,1.6666666666666667,2.333333333333333,1.5,1.5,2.5,0.6666666666666666,2.1666666666666665,0.3333333333333333,3
35,DCKS2TKO3,[※3일차 석식-전복죽 특전 제공※]제주 노팁/노옵션 3일_관광호텔 <산방산유람선+화순곶자왈+서커스+아쿠아플라넷+오션아레나>,"수월봉,애월한담해안도로,카멜리아힐,수목원테마파크,산방산유람선,성읍민속마을,아쿠아플라넷","수월봉,애월한담해안산책로,카멜리아힐,수목원테마공원,산방산,성읍민속마을,아쿠아플라넷제주",7,1.7142857142857142,2.4285714285714284,1.5714285714285714,1.2857142857142858,2.4285714285714284,0.5714285714285714,2.2857142857142856,0.4285714285714285,3
36,DCKS2TKO2,[※가이드경비포함/마라도+우도※] 도도한 제주3일_관광호텔 <마라도+우도+아쿠아플라넷+한방족욕>,"수월봉,애월한담해안도로,카멜리아힐,마라도,성읍민속마을,아쿠아플라넷","수월봉,애월한담해안산책로,카멜리아힐,마라도,성읍민속마을,아쿠아플라넷제주",6,1.8333333333333333,2.333333333333333,1.6666666666666667,1.6666666666666667,2.5,0.5,2.6666666666666665,0.3333333333333333,3
37,DCKS2TKO09,[※노팁/노옵션※ 마라도+아쿠아플라넷] 관광호텔 2박3일 합리적인 노팁/노옵션에 마라도 포함된 특가상품!!,"수월봉,애월한담해안도로,카멜리아힐,수목원테마파크,마라도,성읍민속마을,아쿠아플라넷","수월봉,애월한담해안산책로,카멜리아힐,수목원테마공원,마라도,성읍민속마을,아쿠아플라넷제주",7,1.8571428571428568,2.4285714285714284,1.5714285714285714,1.5714285714285714,2.571428571428572,0.7142857142857143,2.2857142857142856,0.2857142857142857,3
38,DCKS2TOZ3B,[※추석연휴 항공좌석확보※]제주를 반하다 3일_로베로호텔 <수목원테마파크+서커스월드+석예원족욕+아쿠아플라넷>,"수목원테마파크,카멜리아힐,산방산유람선,성읍민속마을,아쿠아플라넷,애월한담해안도로","수목원테마공원,카멜리아힐,산방산,성읍민속마을,아쿠아플라넷제주,애월한담해안산책로",6,1.5,2.333333333333333,1.3333333333333333,1.1666666666666667,2.6666666666666665,0.6666666666666666,2.1666666666666665,0.3333333333333333,3
39,DCKS2GOZ4,[해안을 벗삼은 그라벨호텔] 제주를 반하다 2박3일 <아쿠아플라넷+한방족욕+서커스+곶자왈>,"애월한담해안도로,카멜리아힐,수목원테마파크,산방산유람선,성읍민속마을,아쿠아플라넷","애월한담해안산책로,카멜리아힐,수목원테마공원,산방산,성읍민속마을,아쿠아플라넷제주",6,1.5,2.333333333333333,1.3333333333333333,1.1666666666666667,2.6666666666666665,0.6666666666666666,2.1666666666666665,0.3333333333333333,3
40,DCPS2XKE9,"[노팁노옵션 PERFECT 마라도투어] 베스트웨스턴호텔 3일-3인1실기준 최남단마라도,아쿠아플라넷, 족욕, 노팁, 노옵션","수월봉,카멜리아힐,마라도,서커스월드,수목원테마파크,제주레저승마,성읍민속마을,아쿠아플라넷","수월봉,카멜리아힐,마라도,수목원테마공원,제주승마공원,성읍민속마을,아쿠아플라넷제주",7,1.8571428571428568,2.4285714285714284,1.7142857142857142,1.4285714285714286,2.2857142857142856,1.1428571428571428,2.2857142857142856,0.2857142857142857,3
41,DCPZ2TZE1,★이스타 연합★ 제주도 2박 3일 초특가 패키지! 카멜리아힐+ 아프리카 박물관+ 유리의 성+ 에코랜드+ 휘닉스 아일랜드,"카멜리아힐,석부작박물관,송악산,에코랜드관광열차,성읍민속마을","카멜리아힐,석부작박물관,송악산,성읍민속마을",4,1.5,2.25,1.75,0.75,2.0,0.25,2.25,1.25,10
42,9cbbd7ff8c4a3806,싱싱싱의 3박 4일 제주,"삼무국수,제주 러브랜드,소리게스트하우스 2호점,한담해변 산책로,색달식당,오설록 티 뮤지엄,제주 유리의 성,천지연폭포,서귀포 매일 올레 시장,우정횟집,우정회센타,쇠소깍,섭지코지,친구끼리 오삼불고기 정식,섭지코지,코지하우스,메이즈랜드,곱들락,어떤날 게스트하우스,이호테우해변","제주러브랜드[휴업중],애월한담해안산책로,오설록티뮤지엄,제주유리의성,천지연폭포,쇠소깍,섭지코지,섭지코지,메이즈랜드,이호테우해수욕장",10,1.9,2.1,1.5,1.2,1.8,1.2,2.2,0.3,3
43,a8325f325733b892,43만원으로 남친이랑 제주도서쪽 2박3일 먹방 여행♡ㅡ3번째여행기ㅡ,"동문시장,아루요 1호점,우유부단,성이시돌목장,왕따나무,애월 해안도로,살롱 드 라방,몽상드애월,봄날,한림농협 하나로마트,제주더힐링,제주더힐링,협재 수우동,놀맨,하우스 레서피 당근 케이크,산방산,치치퐁 아이스크림,용머리 해안,사계해안도로,송악산,양가형제,제주더힐링,명랑스낵,제주더힐링,제주더힐링,다가미김밥","성이시돌목장,애월해안도로,산방산,용머리해안,사계해안도로,송악산",6,2.333333333333333,3.0,1.6666666666666667,1.0,2.0,0.3333333333333333,2.5,0.3333333333333333,4
44,57378aa8fb1a39a4,한국에도 이런 곳이? 몰디브 뺨치는 해외 같은 바다,"화진포해변,장호항,협재해수욕장,서빈백사 해수욕장,홍조단괴해변,사곶해변,증도 우전해수욕장","세화해변,협재해수욕장,사계해변",3,2.6666666666666665,3.0,1.3333333333333333,3.0,2.6666666666666665,1.3333333333333333,3.0,0.0,5
45,89a187cf6ab79972,뚝의 제주 2박 3일,"이호테우해변,곽지해수욕장,카페 태희,한화리조트 제주,한화리조트 제주,오설록 티 뮤지엄,카멜리아 힐,서귀포 시외 버스 터미널,찜,마리의 당근밭 게스트하우스,마리의 당근밭 게스트하우스,우도,쇠머리오름,우도봉,검멀레 해수욕장,하고수동 해수욕장,산호풍경,서빈백사 해수욕장,홍조단괴해변,봉쉡망고,바당지기식당,월정리로와,월정리해변","이호테우해수욕장,곽지해수욕장,오설록티뮤지엄,카멜리아힐,우도,우도,검멀레해변,하고수동해변,월정리해안도로,월정리해변",10,2.5,2.7,1.7,2.1,2.4,1.2,2.5,0.0,5
46,67e6b5fb50927978,약빤여행 국내편 : 제주도 짧은 여행,"파라다이스 환전소,애슐리 제주점,애월초등학교 더럭분교장,오설록 티 뮤지엄,이니스프리 제주하우스,알동네집,5월의꽃,쉴띠 게스트하우스,쉴띠 게스트하우스,카멜리아 힐,서광춘희,방주교회,파라다이스 환전소,가락국수,파라다이스 환전소,파라다이스 환전소,제주 왕벚꽃 축제,이호테우해변,파라다이스 환전소","오설록티뮤지엄,이니스프리제주하우스,카멜리아힐,방주교회,이호테우해수욕장",5,1.6,1.4,1.0,1.4,1.6,1.4,2.0,0.2,9
47,d3f8c9a18fb1393c,제주도 3박 4일 뚜벅이 여행,"만복이네김밥집,에코랜드 테마파크,달에 물들다 게스트하우스,유코식당,달에 물들다 게스트하우스,월정리해변,세화해수욕장,브라운스위트 제주 호텔 & 리조트,성산포 종합 여객 터미널,우도 하우목동항,풍원,우도,서빈백사 해수욕장,홍조단괴해변,뽀요요 카페,검멀레 해수욕장,쇠머리오름,우도봉,우도 하우목동항,성산포 종합 여객 터미널,칠돈가 성산점,브라운스위트 제주 호텔 & 리조트,브라운스위트 제주 호텔 & 리조트,오조 해녀의 집,성산일출봉,섬버거,제주 에인감귤밭,아리아호텔,중문색달해변,이드레국수,아리아호텔,춘심이네 본점,오설록 티 뮤지엄,이니스프리 제주하우스,협재해수욕장,솔지식당","에코랜드테마파크,월정리해변,협재해수욕장,우도,검멀레해변,우도,성산일출봉,중문색달해변,오설록티뮤지엄,이니스프리제주하우스,협재해수욕장",11,2.363636363636364,2.636363636363636,1.7272727272727273,1.6363636363636365,2.1818181818181817,1.0,2.8181818181818183,0.1818181818181818,8
48,fd2e8d4e2a645b57,나홀로 제주도 버스여행 3박 4일,"제주 시외 버스 터미널,제주 종합 터미널,해동식당,사려니숲길,산굼부리,써니허니 게스트하우스,웅스키친,써니허니 게스트하우스,써니허니 게스트하우스,거문오름 용암동굴,CU 세계자연유산센터점,광치기해변,성산포 JC공원,,성산일출봉,스타벅스 성산일출봉점,탱자싸롱 게스트하우스,탱자싸롱 게스트하우스,재연식당,세화5일장,벨롱장,비자림,만장굴,동문시장,비지터게스트하우스,비지터게스트하우스,동문시장,애월초등학교 더럭분교장,봄날,한담해변 산책로,하루하나,앤트러사이트 제주,플래닛 게스트하우스,협재 수우동,협재해수욕장,월령 선인장 마을,환상숲 곶자왈공원,오설록 티 뮤지엄,이니스프리 제주하우스,아라파파,어머니빵집","사려니숲길,산굼부리,거문오름,제주세계자연유산센터,광치기해변,성산일출봉,성산일출봉,비자림,만장굴,애월한담해안산책로,협재해수욕장,월령선인장군락지,환상숲곶자왈공원,오설록티뮤지엄,이니스프리제주하우스",15,2.333333333333333,2.4,1.7333333333333334,1.0666666666666669,2.333333333333333,0.6,2.6,0.6,0
49,1264e57c1bb81868,빈수르가 보내주는 제주도 2박3일~^^,"올레삼다정,서귀포 매일 올레 시장,이중섭 거리,광치기해변,성산포 JC공원,,더포그레이스 리조트,성산농협 하나로마트,맛나갈비식당,용눈이 오름,월정리해변,김녕성세기해변,김녕금속공예마을,메이더 호텔,동복리 해녀촌,비자림,신창 풍차 해안,조함해안로,동문시장","이중섭거리,광치기해변,용눈이오름,월정리해변,김녕성세기해변,김녕금속공예벽화마을,비자림,신창풍차해안도로,조함해안도로",9,1.8888888888888888,2.888888888888889,1.4444444444444444,2.0,2.555555555555556,0.7777777777777778,2.888888888888889,0.7777777777777778,8
50,8f9789764b4d2952,"[한국/제주] 평생 볼 수국, 해바라기 다 보고 온 탐라국 꽃여행","삼무공원,산지물 신제주점,바오젠 거리,제주로얄호텔,제주로얄호텔,항파두리 항몽유적지,화연이네 식당,애월초등학교 더럭분교장,앤트러사이트 제주,월령 선인장 자생지,신창 풍차 해안,신도리 어촌계식당,오설록 티 뮤지엄,안덕면 홍가시나무,라마다 앙코르 서귀포,하하호호 서귀포점,라마다 앙코르 서귀포,라마다 앙코르 서귀포,공새미59,위미 3리 수국길,보롬왓,삼다수목장,사려니숲길,김경숙 해바라기,낭뜰에쉼팡,아이미 제주비치호텔,함덕 서우봉 해변,도렐,아이미 제주비치호텔,아이미 제주비치호텔,종달리 해안 도로,종달리 수국길,카페 세바,보롬왓,옥돔식당,제주감귤호떡,스타벅스 송악산점,사계해안도로,사계포구,화순금모래해변,논짓물,거멍국수,산방산 탄산온천,산방산 탄산온천,삼양 검은 모래 해변/ 해수욕장","항파두리항몽유적지,월령선인장군락지,신창풍차해안도로,오설록티뮤지엄,보롬왓,사려니숲길,김경숙해바라기농장,종달리해안도로,종달리수국길,보롬왓,사계해안도로,현사포구,화순금모래해수욕장,논짓물,산방산탄산온천,산방산탄산온천",16,2.0,2.5,1.125,1.5625,1.875,0.8125,2.375,0.1875,1
51,3b0def31a84dc827,우도필수코스총정리!!! ㅡ두번째여행기ㅡ,"동문시장,사려니숲길,아서원,풍림다방,성산농협 하나로마트,성산포 종합 여객 터미널,우도 하우목동항,서빈백사 해수욕장,홍조단괴해변,하얀산호민박,하얀산호민박,하얀산호민박,하하호호 카페,우도다방 돼지네땅콩손만두,쇠머리오름,우도봉,대니스카페,우도 팔경 보트관광,검멀레 해수욕장,비양도,하얀산호민박,풍원,하얀산호민박,하얀산호민박,서빈백사 해수욕장,홍조단괴해변,하하호호 카페,블랑로쉐,하고수동 해수욕장,성산포 종합 여객 터미널,만장굴,제주 러브랜드,엉클통김밥 노형점,동문시장,사랑분식","사려니숲길,우도,검멀레해변,비양도,하고수동해변,만장굴,제주러브랜드[휴업중]",7,2.4285714285714284,2.2857142857142856,1.8571428571428568,1.5714285714285714,2.2857142857142856,1.1428571428571428,2.4285714285714284,0.1428571428571428,4
52,5789519d152248b4,한여름의 4박5일 제주도 뚜벅이,"대전복합터미널,리치망고 애월본점,한담해변 산책로,곽지해수욕장,곽지식당,산방산클립 게스트하우스,오설록 티 뮤지엄,카멜리아 힐,돈이랑,테디베어뮤지엄 제주,스타벅스 제주중문점,표선 해비치 해변,아주게스트하우스,성산포 종합 여객 터미널,검멀레 해수욕장,비양도,등머울,하고수동 해수욕장,안녕육지사람,블랑로쉐,우도i,서빈백사 해수욕장,홍조단괴해변,우도 하우목동항,여름문구사,나나이로아코제주,세화해수욕장,CAFE 공작소,샨티샨티게스트하우스,월정리해변,쓰담뜨담,월정스캔들,주네가네,김녕성세기해변,자매국수,동문시장,레인보우 인 제주 게스트하우스,대전복합터미널","애월한담해안산책로,곽지해수욕장,오설록티뮤지엄,카멜리아힐,테디베어뮤지엄제주,검멀레해변,비양도,하고수동해변,우도,협재해수욕장,월정리해변,김녕성세기해변",12,2.1666666666666665,2.5,1.6666666666666667,2.083333333333333,2.4166666666666665,1.25,2.6666666666666665,0.1666666666666666,5
53,db2882c89ebc3a31,비 오는 날의 제주 힐링,"Rainy Day,북촌 돌하르방 공원,제주도립미술관,물 미술관,바람 미술관,본태 박물관,아라리오 뮤지엄,Dancing in the Rian","북촌돌하르방미술관,제주도립김창열미술관,유민미술관,바당미술관,본태박물관,아라리오뮤지엄탑동시네마",6,0.3333333333333333,0.5,0.8333333333333334,1.0,1.0,0.5,2.333333333333333,2.0,2
54,a70c23e51f4d9832,초보운전자도 떠나는 첫번째 제주도 동쪽여행기 !!!ㅡ첫번째여행기ㅡ,"만복이네김밥집,동문시장,김녕성세기해변,구좌상회,월정리해변,만장굴,홍돈,월정리해변,다래향 세화리점,성산일출봉,성산포 종합 여객 터미널,우도,서빈백사 해수욕장,홍조단괴해변,답다니탑망대,하고수동 해수욕장,검멀레 해수욕장,우도 천진항,성산포 종합 여객 터미널,메종 드 쁘띠 푸르,휘로,제주로얄호텔","김녕성세기해변,월정리해변,만장굴,월정리해변,성산일출봉,우도,답다니탑망대,하고수동해변,검멀레해변",9,2.6666666666666665,2.888888888888889,1.6666666666666667,2.2222222222222223,2.333333333333333,1.0,3.0,0.2222222222222222,5
