contentsid,title,tag,introduction,contentscd.label,인기점수,자연,실외,피로도,산-바다,도보산채ㄱ,신나는,낮,인문학
CONT_000000000500056,곽지해수욕장,"일몰,해수욕장,액티비티,아이,맑음,여름,자연경관,체험,레저/체험,해변,물놀이,어린이,수상레저",시원한 용천수를 뿜어내는 노천탕이 있는 곳,관광지,160888,,,,,,,,
CONT_000000000500570,제주절물자연휴양림,"휴양림,걷기/등산,휴식/힐링,친구,커플,흐림,여름,자연경관,수국",삼나무 숲에서 즐기는 산림욕,관광지,158421,,,,,,,,
CONT_000000000500564,제주실탄사격장,"실내,액티비티,친구,커플,비.눈,겨울,실내관광지,체험,레저/체험,어트랙션",제주유일 실내 권총실탄사격장,관광지,150609,,,,,,,,
CONT_000000000500079,금능해수욕장,"일몰,해수욕장,액티비티,아이,맑음,여름,자연경관,체험,레저/체험,해변,물놀이,어린이,수상레저","제주시 한림읍에 위치한 금능해수욕장은 서쪽의 인기 명소인 협재해수욕장과 바로 이어져 있다. 파란 물감을 풀어놓은 것 같은 바다부터 생김새가 귀여운 비양도, 촉감이 보슬거리는 모래사장까지 이웃한 해변과 비슷한 풍경을 품고 있지만 그보다 사람이 붐비지 않아 여유로운 것이 매력이다. ",관광지,147218,,,,,,,,
CONT_000000000500287,산방굴사,"문화유적지,부모,맑음,문화관광,역사유적",불상이 있어 사찰로 불리는 아름다운 풍광을 가진 산방굴사,관광지,147123,,,,,,,,
CNTS_000000000000597,아라고나이트 온천(디아넥스호텔),"온천,실내,휴식/힐링,부모,비.눈,겨울,실내관광지,호텔,숙소,어트랙션",무더운 여름 시원한 수영장을 자연스레 찾는 것처럼 겨울철에는 뜨끈한 온수에 몸을 담그고 피로를 푸는 경우가 있다. 2001년 전까지만 해도 전문가들은 “제주도에는 온천 부존 가능성이 없다”고 했다. 하지만 이 정설을 뒤집고 제주에서 유일하게 아라고나이트 고온천수가 발견되었다. 수억 년 전 역사로 거슬러 올라가는 아라고나이트 고온천수 시설은 디아넥스호텔이 자부하는 최고의 힐링시설이다. 이 온천수는 300만 년 전에 모양을 갖춘 지하 화강암 위에 순수한 물이 제주 땅 중심으로 스며들면서 각종 미네랄을 함유하며 생성되었다는 게 전문가들의 의견.,관광지,144367,,,,,,,,
CONT_000000000500469,용두암,"일출,해변,경관/포토,맑음,자연경관,포토스팟","용이 승천하려다 뜻을 이루지 못했다는 전설을 담고 있는 곳
· 제주도기념물 제57호
· 올레17코스",관광지,141340,,,,,,,,
CONT_000000000500288,산방산탄산온천,"실내,휴식/힐링,부모,아이,흐림,겨울,자연경관,실내관광지,어린이,어트랙션","제주 유일, 국내 최고의 탄산온천, 제주 산방산탄산온천",관광지,138315,,,,,,,,
CNTS_000000000019997,이호테우말등대,"등대,일몰,경관/포토,커플,맑음,가을,포토스팟","이호테우해변의 랜드마크, 말등대",관광지,135970,,,,,,,,
CNTS_000000000020050,보롬왓,"경관/포토,휴식/힐링,친구,커플,맑음,봄,여름,가을,자연경관,포토스팟,수국",아름다운 꽃을 배경으로 사진 찍을  수 있는 곳이다.,관광지,135522,,,,,,,,
CONT_000000000500707,휴애리 자연생활공원,"휴식/힐링,아이,맑음,봄,우수관광사업체,자연경관,어린이,동백,매화,수국",자연속 동·식물들과 교감이 있는 체험형 자연생활공원,관광지,133640,,,,,,,,
CONT_000000000500005,제주김녕미로공원,"테마공원,아이,맑음,봄,우수관광사업체,자연경관,어린이",사계절 푸르른 랠란디나무로 이루어진 우리나라 최초의 미로공원,관광지,132333,,,,,,,,
CNTS_000000000020230,아침미소목장,"체험관광,아이,맑음,봄,체험,어린이,어트랙션","제주시 근교에 자리한 아침미소목장은 건강한 젖소들이 자라는 친환경 목장이다. 넓은 초원에 소들을 방목해 키우며 들판 너머 한라산이 보이는 풍경이 평화롭다. 목장 안에 경치 좋은 카페가 있어 목가적인 분위기를 즐기며 느긋하게 쉬어가기도 좋다. 이곳에서 직접 짠 우유와 요구르트, 치즈 제품들을 맛볼 수 있다.",관광지,129749,,,,,,,,
CNTS_000000000019970,백록담,"커플,혼자,친구,경관/포토,맑음,사계절,등산,자연경관,포토스팟,한라산,언택트","순상화산의 원지형이 잘 보존된 국내 가장 높은 산정화구호
· 세계생물권보존지역
· 세계자연유산
· 세계지질공원",관광지,129199,,,,,,,,
CONT_000000000500361,세화해변,"해변,휴식/힐링,커플,맑음,여름,자연경관",인생 사진을 남길 수 있는 인생 바다,관광지,128742,,,,,,,,
CNTS_000000000018385,김경숙해바라기농장,"커플,친구,아이,부모,혼자,경관/포토,여름,맑음,자연경관,포토스팟,어린이,어트랙션,해바라기",노란 물결의 해바라기가 펼쳐진 해바라기 농장,관광지,128613,,,,,,,,
CNTS_000000000021062,제주조천스위스마을,"포토스팟,카페,실내,여자,남자,커플,휴식,비/바람/눈,안개/흐림,맑음,여름,마을산책,마을관광,어트랙션",제주에서 느껴보는 스위스 색채와 감성,관광지,126815,,,,,,,,
CONT_000000000500232,백약이오름,"일출,오름,걷기/등산,친구,커플,겨울,자연경관,도보여행,도보","하늘로 향하는 길, 백약이오름",관광지,125708,,,,,,,,
CNTS_000000000018409,외돌개,"일출,해변,경관/포토,휴식/힐링,맑음,가을,자연경관,포토스팟","바다위에 홀로 우뚝, 우직한 외돌개
· 명승 제79호
· 올레7코스",관광지,125459,,,,,,,,
CNTS_000000000020139,제주레일바이크,"친구,경관/포토,체험관광,액티비티,가을,체험,레저/체험,포토스팟,어트랙션",천천히 구좌읍의 풍경을 담는 여행,관광지,122855,,,,,,,,
CNTS_000000000018311,서귀포치유의숲,"웰니스,자연,숲,치유,숲길,걷기/등산,부모,자연경관,도보여행,도보","편백나무와 삼나무숲길을 걸으며 치유의 순간을 만나다. 
2019, 2020 정부 문화체육관광부가 지정한 '열린관광지'에도 지정되어 있다!",관광지,120858,,,,,,,,
CNTS_000000000018413,광치기해변,"일출,해변,경관/포토,흐림,봄,자연경관,포토스팟,봄꽃,유채꽃",성산일출봉과 독특한 해안지형이 어우러져 이색적인 풍광을 간직한 곳,관광지,120266,,,,,,,,
CONT_000000000500171,마라도(마라해양도립공원),"섬속의섬,휴식/힐링,부모,아이,맑음,가을,자연경관,어린이","난대성 해양 동식물이 풍부하고 경관이 아름다운 유인도 중에 국토 최남단인 섬, 천연기념물 제423호",관광지,119453,,,,,,,,
CNTS_000000000019539,렛츠런파크,"승마,액티비티,아이,맑음,체험,레저/체험,어린이,테마공원,어트랙션",렛츠런파크 제주는 천연기념물 제347호인 ‘제주마’의 보호 및 육성을 위해 1990년 개장된 테마공원이다.,관광지,118312,,,,,,,,
CNTS_000000000018455,중문관광단지,"부모,커플,아이,체험관광,쇼핑,어린이,어트랙션",볼거리와 체험이 가득한 중문관광단지,관광지,117426,,,,,,,,
CONT_000000000500604,중문색달해수욕장,"해수욕장,액티비티,친구,맑음,여름,자연경관,체험,레저/체험,해변,물놀이,수상레저","제주올레 8코스, 여유롭고 이국적인 해수욕장",관광지,115910,,,,,,,,
CONT_000000000500535,제주4.3평화공원,"테마공원,부모,커플,혼자,친구,아이,맑음,흐림,미술/박물관,실내,실내관광지,어트랙션,봄꽃,벚꽃",반드시 기억해야 할 우리 제주의 역사가 담긴 제주 4.3 평화공원,관광지,114136,,,,,,,,
CONT_000000000500351,성읍민속마을,"문화유적지,부모,아이,봄,자연경관,역사유적,마을산책,마을관광,어린이,제주명품42,제주7대건축물,사적지,문화재,문화관광",문화유산과 조화롭게 살아가는 성읍주민들의 모습에서 제주의 옛모습을 엿보다,관광지,111068,,,,,,,,
CONT_000000000500425,애월해안도로,"일몰,해변,드라이브,커플,맑음,여름,자연경관","도보, 자전거, 자동차 뭐든 좋은 서부해안도로",관광지,110301,,,,,,,,
CONT_000000000500285,산방산,"지질트레일,산,걷기/등산,맑음,가을,자연경관,봄꽃,유채꽃,유네스코","설문대할망이 한라산 꼭대기를 뽑아 던져놓았다는 산방산 
· 명승 제77호
· 천연기념물 제376호
· 올레10코스",관광지,109973,,,,,,,,
CNTS_000000000020199,이중섭거리,"예술,걷기/등산,커플,맑음,가을",이중섭 미술관과 이중섭 거주지를 중심으로 조성된 문화거리,관광지,109543,,,,,,,,
CONT_000000000500216,박물관은 살아있다,"실내,테마공원,아이,비.눈,겨울,사계절,실내관광지,문화관광,박물관,어트랙션",다섯개의 착시체험 테마로 이루어진 눈속임테마파크,관광지,109196,,,,,,,,
CNTS_000000000019535,제주레포츠랜드,"액티비티,아이,맑음,체험,레저/체험,어린이,어트랙션","일반 카트장의 3배 크기, 국제경기유치가 가능한 국내최대규모카트장",관광지,108273,,,,,,,,
CNTS_000000000021240,1100고지습지,"산,경관/포토,흐림,가을,자연경관,포토스팟,한라산,언택트",쉽게 만나볼 수 없는 야생동물을 만나볼 수 있는 곳,관광지,107175,,,,,,,,
CONT_000000000500378,송악산,"일몰,일출,산,해변,걷기/등산,친구,커플,맑음,가을,자연경관,수국",서남부의 절경을 선사하는 산방산의 이웃산,관광지,104079,,,,,,,,
CONT_000000000500372,소인국테마파크,"테마공원,아이,봄,우수관광사업체,실내관광지,어린이,어트랙션",세계 각국의 유명건축물을 한번에 볼 수 있는 테마공원,관광지,103939,,,,,,,,
CONT_000000000500702,환상숲 곶자왈공원,"웰니스,자연,숲,치유,걷기/등산,커플,자연경관,곶자왈,안전여행스탬프",제주도의 진짜 자연을 볼 수 있는 에코힐링여행,관광지,103879,,,,,,,,
CONT_000000000500388,수월봉 지질트레일,"지질트레일,걷기/등산,친구,맑음,가을,자연경관,언택트,유네스코",오누이의 효심이 담긴 이야기가 있는 지질트레일,관광지,102664,,,,,,,,
CONT_000000000500577,제주하늘을날다(패러글라이딩),"액티비티,친구,맑음,체험,레저/체험,어트랙션",제주2인승체험비행과 패러글라이딩교육스쿨,관광지,101500,,,,,,,,
CNTS_000000000018468,제주동백수목원,"경관/포토,커플,겨울,제주동백수목원,자연경관,동백,포토스팟",붉은 아기동백이 올망종망 피어있는 동백숲,관광지,101226,,,,,,,,
CNTS_000000000001191,생각하는정원,"휴식/힐링,테마공원,커플,아이,흐림,가을,어린이,어트랙션,안전여행스탬프",국가지정 민간정원으로 대한민국 대표정원,관광지,101073,,,,,,,,
CONT_000000000500118,다랑쉬오름(월랑봉),"일출,밤,오름,걷기/등산,친구,가을,힐링,자연경관,도보여행,도보,억새",4계절 색채가 뚜렷한 오름의 여왕,관광지,100187,,,,,,,,
CONT_000000000500156,동백동산,"걷기/등산,휴식/힐링,맑음,겨울,자연경관,동백,언택트",조천읍 선흘리에 위치한 동백동산은 제주 생태체험관광의 또 다른 명소이다. 화산 폭발 후 흘러내린 용암이 쪼개지면서 형성된 곶자왈은 넓은 연못이 만들어지기에 어려운 구조다. 하지만 용암이 식을 때 부서지지 않고 판형으로 남아있는 지형에서는 물이 빠져 내려가지 않고 고여 있게 된다. 이를 ‘파호이호이용암’이라 부르며 제주에서는 동백동산이 유일하다.,관광지,98972,,,,,,,,
CONT_000000000500553,제주민속촌,"문화유적지,아이,흐림,가을,우수관광사업체,역사유적",제주도 삶의 원형을 간직한 곳,관광지,95318,,,,,,,,
CNTS_000000000018384,방주교회,"부모,커플,친구,아이,맑음,사계절,문화관광,어린이,어트랙션",건축가 이타미 준이 설계한 노아의 방주를 본 따 만든 성전 건축물,관광지,93180,,,,,,,,
CONT_000000000500312,새연교,"밤,경관/포토,커플,맑음,포토스팟","새섬으로 가는 통로, '새'로운 인'연'을 만들어가는 다리",관광지,92561,,,,,,,,
CONT_000000000500407,아부오름,"커플,친구,맑음,오름,가을,봄,자연경관,도보여행,도보",제주의 오름을 좀 더 가깝게 느낄 수 있는 아부오름,관광지,90452,,,,,,,,
CONT_000000000500568,제주유리의성,"테마공원,커플,흐림,가을,우수관광사업체,실내관광지,어트랙션,안전여행스탬프",국내 최대 규모의 유리 조형예술체험 테마파크,관광지,90304,,,,,,,,
CONT_000000000500410,안덕계곡,"계곡,액티비티,커플,흐림,봄,자연경관,체험,레저/체험,어트랙션,물놀이","'구가의 서' 촬영지, 제주의 아름다운 계곡 중 하나로 꼽히는 신비한 안덕계곡",관광지,90251,,,,,,,,
CONT_000000000500550,제주러브랜드[휴업중],"커플,테마공원,가을,밤,실내관광지,어트랙션",성을 주제로 한 현대적 감각의 테마조각공원,관광지,89443,,,,,,,,
CONT_000000000500266,붉은오름 자연휴양림,"휴양림,걷기/등산,휴식/힐링,커플,흐림,가을,자연경관,도보여행,도보",계절마다 각기 다른 아름다움을 뽐내는 붉은 오름 자연휴양림,관광지,89352,,,,,,,,
CONT_000000000500547,제주돌문화공원,"테마공원,커플,흐림,겨울,실내관광지,어트랙션",제주의 바람과 신화를 머금은 아름다운 돌을 감상하다,관광지,87279,,,,,,,,
CONT_000000000500077,선녀와나무꾼,"실내,테마공원,커플,아이,흐림,사계절,실내관광지,어린이,어트랙션",그리운 옛날 그 시절로 돌아가는 추억여행,관광지,85897,,,,,,,,
CONT_000000000500582,제주허브동산,"테마공원,친구,커플,맑음,우수관광사업체,우정스냅,동백,수국","150여종 허브와 꽃을 만날 수 있는 허브동산, 밤이 즐거운 야간명소",관광지,85494,,,,,,,,
CNTS_000000000022691,오라동 청보리-메밀꽃밭,"경관/포토,친구,커플,맑음,봄,가을,자연경관,포토스팟,어트랙션",한라산 아래 드넓은 청보리-메밀꽃의 향연,관광지,84353,,,,,,,,
CONT_000000000500689,한라수목원,"수목원,휴식/힐링,테마공원,부모,아이,맑음,여름,자연경관,어린이,동백",숲이 주는 상쾌한 느낌을 만끽하는 도심 속 공원,관광지,83318,,,,,,,,
CONT_000000000500019,감귤박물관,"실내,미술/박물관,아이,비.눈,겨울,실내관광지,문화관광,박물관,어트랙션","감귤에 대한 모든 것을 보고, 느끼고, 체험할 수 있는 박물관",관광지,79640,,,,,,,,
CONT_000000000500329,서귀포잠수함(대국해저관광),"액티비티,커플,아이,우수관광사업체,체험,레저/체험,어린이,수상레저,어트랙션",세계최대 연산호군락지와 해저 비경을 발견하는 잠수함체험,관광지,79617,,,,,,,,
CNTS_000000000018432,가파도,"섬속의섬,경관/포토,휴식/힐링,친구,커플,맑음,봄,자연경관,포토스팟,언택트",돌담과 바다가 어우러지면서 아름다운 풍경을 자아내는 가파도 청보리,관광지,78805,,,,,,,,
CNTS_000000000020148,수월봉,"부모,커플,혼자,친구,아이,맑음,가을,경관/포토,일몰,휴식/힐링,자연경관,포토스팟,어린이,언택트,유네스코","차귀도로 떨어지는 낙조와 지질학의 교과서를 만나보자
· 천연기념물 제513호
· 올레12코스",관광지,78334,,,,,,,,
CNTS_000000000020611,아날로그감귤밭,"커플,아이,친구,체험관광,맑음,겨울,체험,어린이,어트랙션","감귤체험, 포토스팟, 아날로그 감성이 있는 곳",관광지,77746,,,,,,,,
CNTS_000000000021523,위미리 동백나무군락,"경관/포토,커플,아이,맑음,겨울,자연경관,동백,포토스팟,어린이","현맹춘(1858-1993) 할머니가 모진바람을 막기 위하여 한라산의 동백을 따다 심어 자라 군락지를 이룬곳, 제주도 기념물 제 39 호",관광지,77591,,,,,,,,
CONT_000000000500177,마방목지,"경관/포토,문화유적지,아이,맑음,봄,자연경관,역사유적,포토스팟,어린이",제주혈통 조랑말이 뛰어노는 초원지대,관광지,77050,,,,,,,,
CONT_000000000500267,비양도,"섬속의섬,일몰,휴식/힐링,아이,맑음,여름,자연경관,어린이,언택트,유네스코","천 년의 시간을 간직한 섬
· 천연기념물 제439호
· 제주도기념물 제48호
· 올레15코스",관광지,76979,,,,,,,,
CNTS_000000000019572,신비의도로카트체험장,"액티비티,아이,맑음,봄,체험,레저/체험,어린이,어트랙션,드라이브","제주의 아름다운 공기와 바람을 가르며 달리는 짜릿한 경험! 제주 도심권의 최고의 레저, 공항부근 10부거리 위치!",관광지,76329,,,,,,,,
CNTS_000000000018248,"더럭초등학교(구, 더럭분교)","경관/포토,커플,아이,맑음,봄,포토스팟,어린이,봄꽃,벚꽃","알록달록 조용한 애월의 작은 초등학교(구, 분교)",관광지,75031,,,,,,,,
CNTS_000000000000975,녹산로유채꽃길,"드라이브,경관/포토,커플,맑음,봄,봄꽃,자연경관,도보여행,도보,포토스팟,유채꽃,벚꽃,제주명품42,제주7대도로",노란 유채꽃이 아름다운 길,관광지,73933,,,,,,,,
CONT_000000000500494,월령선인장군락지,"경관/포토,커플,맑음,여름,포토스팟",이국적인 분위기를 풍기는 선인장 군락지,관광지,73339,,,,,,,,
CONT_000000000500556,제주빅볼랜드,"액티비티,아이,맑음,가을,체험,레저/체험,어린이,어트랙션",커다란 공안에 들어가 언덕을 굴러 내려오는 레포츠,관광지,73290,,,,,,,,
CNTS_000000000018444,월정리 카약체험장,"액티비티,커플,여름,체험,레저/체험,수상레저,어트랙션",바닷속을 직접 배안에서 볼 수 있는 카약체험,관광지,73034,,,,,,,,
CONT_000000000500578,제주항공우주박물관,"실내,미술/박물관,아이,비.눈,겨울,우수관광사업체,실내관광지,문화관광,박물관,어트랙션",제주항공우주박물관은 항공 기술과 우주를 꿈꾸는 사람들에게 무한한 상상력을 심어준다. 하늘을 날고자 했던 라이트 형제의 수많은 도전과 미래 행성을 세우는 일까지 마음껏 상상의 나래를 펼칠 수 있다.,관광지,72863,,,,,,,,
CONT_000000000500057,관덕정,"문화유적지,부모,커플,혼자,친구,아이,사계절,4.3,실내관광지,제주4.3,역사유적,어린이,어트랙션","국가지정 보물 제 322호로 제주에 현존하는 건물 중 가장 오래된 건물
· 제주시 삼도2동
· 보물 제322호
· 올레17코스
· 4·3 유적지",관광지,71111,,,,,,,,
CONT_000000000500472,용연,"밤,휴식/힐링,맑음,여름,자연경관","용연을 잇는 다리, 용연구름다리
· 제주시 용담2동
· 제주도기념물 제57호
· 올레17코스",관광지,70624,,,,,,,,
CNTS_000000000022771,신화테마파크,"테마공원,맑음,아이,실내관광지,어린이,어트랙션,안전여행스탬프",한국 토종 애니메이션으로 세계적인 인기를 끈 라바의 세계관이 곳곳에 심어진 정통 테마파크..,관광지,70044,,,,,,,,
CNTS_000000000021772,1100고지(휴게소),"산,경관/포토,흐림,겨울,포토스팟,한라산,언택트,어트랙션,제주명품42,제주7대도로",겨울이면 더욱 아름다운 한라산 대표적인 뷰포인트,관광지,69554,,,,,,,,
CONT_000000000500514,일출랜드,"테마공원,아이,맑음,우수관광사업체,실내관광지,어트랙션,안전여행스탬프,가족,체험,곶자왈",제주의 생태·문화·체험 관광의 명소,관광지,68940,,,,,,,,
CNTS_000000000019594,원앙폭포,"폭포,커플,경관/포토,여름,자연경관,포토스팟",금슬 좋은 원앙 한 쌍이 살았다고 전해져오는 곳,관광지,68604,,,,,,,,
CONT_000000000500250,본태박물관,"예술,실내,미술/박물관,친구,커플,흐림,겨울,우수관광사업체,실내관광지,문화관광,박물관,어트랙션",차용된 빛과 물이 조화롭게 어우러진 박물관,관광지,67650,,,,,,,,
CONT_000000000500569,렛츠런팜제주,"테마공원,아이,꽃,어린이,해바라기","제주 렛츠런팜은 국내 경주마를 육성하고 관리하는 목장이다. 200만㎡가 넘는 면적에 마사와 교배소, 동물병원, 조교용 주로 등을 갖췄다. ",관광지,67172,,,,,,,,
CONT_000000000500695,헬로키티아일랜드,"실내,테마공원,아이,비.눈,겨울,우수관광사업체,실내관광지,어린이,어트랙션",많은 사랑을 받고있는 헬로키티 전시관,관광지,66833,,,,,,,,
CONT_000000000500580,해녀박물관,"실내,문화유적지,미술/박물관,아이,비.눈,겨울,실내관광지,문화관광,박물관,역사유적,어린이,어트랙션",바당의 어멍 제주해녀의 삶을 느낄 수 있는 곳,관광지,66647,,,,,,,,
CONT_000000000500442,여미지식물원,"실내,테마공원,친구,커플,맑음,겨울,실내관광지,어트랙션",마음의 안식을 주는 동양 최대의 온실 식물원,관광지,66108,,,,,,,,
CNTS_000000000022756,브릭캠퍼스,"실내,테마공원,아이,비.눈,겨울,실내관광지,어린이,캠핑,캠핑장,언택트,어트랙션","세계 최초 브릭 아트 테마파크 <브릭캠퍼스>
",관광지,65831,,,,,,,,
CNTS_000000000018309,제주베니스랜드,"테마공원,아이,가을,어린이,어트랙션",제주에서 만나는 아름다운 수상도시 베니스 여행~,관광지,64981,,,,,,,,
